dataset,group,model,engine,execution_mode,run_date,pycaret_version,count_ts,primary_model_per,backup_model_per,no_model_per,backup_model,mape,smape,time
M3,Yearly,dt_cds_dt,ray,native,2023-01-07,3.0.0.rc6,645.0,100.0,0.0,0.0,,27.049,21.082,4.4
M3,Yearly,en_cds_dt,ray,native,2023-01-07,3.0.0.rc6,645.0,100.0,0.0,0.0,,25.994,19.162,4.433
M3,Yearly,ensemble_forecaster,ray,native,,,645.0,,,,,,,
M3,Yearly,et_cds_dt,ray,native,2023-01-07,3.0.0.rc6,645.0,100.0,0.0,0.0,,25.251,19.595,4.983
M3,Yearly,ets,ray,native,2023-01-07,3.0.0.rc6,645.0,99.84496124031008,0.15503875968991565,0.0,naive,24.51,19.294,3.6
M3,Yearly,exp_smooth,ray,native,2023-01-07,3.0.0.rc6,645.0,99.84496124031008,0.15503875968991565,0.0,naive,24.984,19.628,3.55
M3,Yearly,gbr_cds_dt,ray,native,2023-01-07,3.0.0.rc6,645.0,100.0,0.0,0.0,,26.202,20.448,4.567
M3,Yearly,grand_means,ray,native,2023-01-07,3.0.0.rc6,645.0,100.0,0.0,0.0,,40.289,43.625,3.517
M3,Yearly,huber_cds_dt,ray,native,2023-01-07,3.0.0.rc6,645.0,99.84496124031008,0.15503875968991565,0.0,naive,24.472,18.675,4.55
M3,Yearly,knn_cds_dt,ray,native,2023-01-07,3.0.0.rc6,645.0,100.0,0.0,0.0,,25.524,19.632,4.717
M3,Yearly,lar_cds_dt,ray,native,2023-01-07,3.0.0.rc6,645.0,100.0,0.0,0.0,,26.006,19.182,4.4
M3,Yearly,lasso_cds_dt,ray,native,2023-01-07,3.0.0.rc6,645.0,100.0,0.0,0.0,,25.994,19.162,4.417
M3,Yearly,lightgbm_cds_dt,ray,native,2023-01-07,3.0.0.rc6,645.0,100.0,0.0,0.0,,29.28,23.004,4.433
M3,Yearly,llar_cds_dt,ray,native,2023-01-07,3.0.0.rc6,645.0,100.0,0.0,0.0,,25.753,19.161,4.433
M3,Yearly,lr_cds_dt,ray,native,2023-01-07,3.0.0.rc6,645.0,100.0,0.0,0.0,,25.994,19.16,4.433
M3,Yearly,naive,ray,native,2023-01-07,3.0.0.rc6,645.0,100.0,0.0,0.0,,20.881,17.88,3.533
M3,Yearly,omp_cds_dt,ray,native,2023-01-07,3.0.0.rc6,645.0,100.0,0.0,0.0,,25.303,18.895,4.45
M3,Yearly,par_cds_dt,ray,native,2023-01-07,3.0.0.rc6,645.0,100.0,0.0,0.0,,232370.611,47.753,4.45
M3,Yearly,polytrend,ray,native,2023-01-07,3.0.0.rc6,645.0,100.0,0.0,0.0,,29.126,22.92,3.417
M3,Yearly,prophet,ray,native,2023-01-07,3.0.0.rc6,645.0,100.0,0.0,0.0,,28.189,21.943,10.633
M3,Yearly,rf_cds_dt,ray,native,2023-01-07,3.0.0.rc6,645.0,100.0,0.0,0.0,,24.434,19.203,5.117
M3,Yearly,ridge_cds_dt,ray,native,2023-01-07,3.0.0.rc6,645.0,100.0,0.0,0.0,,25.994,19.16,4.433
M3,Yearly,snaive,ray,native,2023-01-07,3.0.0.rc6,645.0,9.922480620155039,90.07751937984496,0.0,naive,1.96,1.964,3.583
M3,Yearly,tbats,ray,native,2023-01-07,3.0.0.rc6,645.0,95.81395348837209,4.186046511627907,0.0,naive,22.281,17.055,32.6
M3,Yearly,theta,ray,native,2023-01-07,3.0.0.rc6,645.0,99.84496124031008,0.15503875968991565,0.0,naive,21.081,16.728,3.517
