os,python_version,library,library_version,dataset,group,model,model_engine,execution_engine,execution_mode,run_date,count_ts,primary_model_per,backup_model_per,no_model_per,backup_model,mape,smape,time
,,pycaret,,M3,Yearly,rf_cds_dt,sklearn,,native,,645.0,,,,,,,
,,pycaret,,M3,Yearly,ridge_cds_dt,sklearn,,native,,645.0,,,,,,,
,,pycaret,,M3,Yearly,ridge_cds_dt,sklearnex,,native,,645.0,,,,,,,
,,pycaret,,M3,Yearly,snaive,None,,native,,645.0,,,,,,,
,,pycaret,,M3,Yearly,tbats,None,,native,,645.0,,,,,,,
,,pycaret,,M3,Yearly,theta,None,,native,,645.0,,,,,,,
,,pycaret,6a4914f1552547fe73dd7be13f3d1843e72d1f61,M3,Other,auto_arima,pmdarima,ray,native,2023-01-14,174.0,100.0,0.0,0.0,,4.417,4.123,5.933
,,pycaret,6a4914f1552547fe73dd7be13f3d1843e72d1f61,M3,Other,auto_arima,statsforecast,ray,native,2023-01-14,174.0,100.0,0.0,0.0,,4.999,4.782,2.7
,,pycaret,6a4914f1552547fe73dd7be13f3d1843e72d1f61,M3,Other,naive,,ray,native,2023-01-14,174.0,100.0,0.0,0.0,,7.025,6.302,1.633
,,pycaret,6a4914f1552547fe73dd7be13f3d1843e72d1f61,M3,Quarterly,auto_arima,pmdarima,ray,native,2023-01-14,756.0,100.0,0.0,0.0,,13.07,9.861,12.567
,,pycaret,6a4914f1552547fe73dd7be13f3d1843e72d1f61,M3,Quarterly,auto_arima,statsforecast,ray,native,2023-01-14,756.0,100.0,0.0,0.0,,14.22,12.911,8.45
,,pycaret,6a4914f1552547fe73dd7be13f3d1843e72d1f61,M3,Yearly,auto_arima,pmdarima,ray,native,2023-01-14,645.0,100.0,0.0,0.0,,22.193,17.524,6.783
,,pycaret,6a4914f1552547fe73dd7be13f3d1843e72d1f61,M3,Yearly,auto_arima,statsforecast,ray,native,2023-01-14,645.0,100.0,0.0,0.0,,24.27,22.625,6.633
win32,3.9.15,pycaret,6a4914f1552547fe73dd7be13f3d1843e72d1f61,M3,Other,ets,,ray,native,2023-01-14,174.0,99.4253,0.5747,0.0,naive,4.976,4.556,1.65
