os,python_version,library,library_version,dataset,group,model,model_engine,model_engine_version,execution_engine,execution_engine_version,execution_mode,execution_mode_version,count_ts,primary_model_per,backup_model_per,no_model_per,backup_model,mape,smape
,,pycaret,,M3,Yearly,ada_cds_dt,sklearn,,ray,,native,,645.0,,,,,,
,,pycaret,,M3,Yearly,arima,None,,ray,,native,,645.0,,,,,,
,,pycaret,,M3,Yearly,bats,None,,ray,,native,,645.0,,,,,,
,,pycaret,,M3,Yearly,br_cds_dt,sklearn,,ray,,native,,645.0,,,,,,
,,pycaret,,M3,Yearly,croston,None,,ray,,native,,645.0,,,,,,
,,pycaret,,M3,Yearly,dt_cds_dt,sklearn,,ray,,native,,645.0,,,,,,
,,pycaret,,M3,Yearly,en_cds_dt,sklearn,,ray,,native,,645.0,,,,,,
,,pycaret,,M3,Yearly,en_cds_dt,sklearnex,,ray,,native,,645.0,,,,,,
,,pycaret,,M3,Yearly,ensemble_forecaster,None,,ray,,native,,645.0,,,,,,
,,pycaret,,M3,Yearly,et_cds_dt,sklearn,,ray,,native,,645.0,,,,,,
,,pycaret,,M3,Yearly,ets,None,,ray,,native,,645.0,,,,,,
,,pycaret,,M3,Yearly,exp_smooth,None,,ray,,native,,645.0,,,,,,
,,pycaret,,M3,Yearly,gbr_cds_dt,sklearn,,ray,,native,,645.0,,,,,,
,,pycaret,,M3,Yearly,grand_means,None,,ray,,native,,645.0,,,,,,
,,pycaret,,M3,Yearly,huber_cds_dt,sklearn,,ray,,native,,645.0,,,,,,
,,pycaret,,M3,Yearly,knn_cds_dt,sklearn,,ray,,native,,645.0,,,,,,
,,pycaret,,M3,Yearly,knn_cds_dt,sklearnex,,ray,,native,,645.0,,,,,,
,,pycaret,,M3,Yearly,lar_cds_dt,sklearn,,ray,,native,,645.0,,,,,,
,,pycaret,,M3,Yearly,lasso_cds_dt,sklearn,,ray,,native,,645.0,,,,,,
,,pycaret,,M3,Yearly,lasso_cds_dt,sklearnex,,ray,,native,,645.0,,,,,,
,,pycaret,,M3,Yearly,lightgbm_cds_dt,sklearn,,ray,,native,,645.0,,,,,,
,,pycaret,,M3,Yearly,llar_cds_dt,sklearn,,ray,,native,,645.0,,,,,,
,,pycaret,,M3,Yearly,lr_cds_dt,sklearn,,ray,,native,,645.0,,,,,,
,,pycaret,,M3,Yearly,lr_cds_dt,sklearnex,,ray,,native,,645.0,,,,,,
,,pycaret,,M3,Yearly,naive,None,,ray,,native,,645.0,,,,,,
,,pycaret,,M3,Yearly,omp_cds_dt,sklearn,,ray,,native,,645.0,,,,,,
,,pycaret,,M3,Yearly,par_cds_dt,sklearn,,ray,,native,,645.0,,,,,,
