dataset,group,library,library_version,model,model_engine,model_engine_version,execution_engine,execution_engine_version,execution_mode,execution_mode_version,num_cpus,backup_model,python_version,os,backup_model_per,count_ts,mape,mase,no_model_per,owa,primary_model_per,run_date,smape,time
M4,Weekly,pycaret,3.0.0.rc8,et_cds_dt,sklearn,1.1.3,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,359.0,8.9014,2.7512,0.0,0.9818,100.0,2023-01-21,8.9144,16.4
M4,Weekly,pycaret,3.0.0.rc8,ets,,,ray,2.0.1,native,,8,naive,3.9.15,win32,0.2786,359.0,7.3862,2.2341,0.0,0.8186,99.7214,2023-01-21,7.6286,14.2167
M4,Weekly,pycaret,3.0.0.rc8,exp_smooth,,,ray,2.0.1,native,,8,naive,3.9.15,win32,0.2786,359.0,7.4869,2.3366,0.0,0.8452,99.7214,2023-01-21,7.7779,10.9333
M4,Weekly,pycaret,3.0.0.rc8,gbr_cds_dt,sklearn,1.1.3,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,359.0,8.8305,2.7014,0.0,0.9694,100.0,2023-01-22,8.8517,16.0333
M4,Weekly,pycaret,3.0.0.rc8,grand_means,,,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,359.0,56.1318,49.9095,0.0,11.6034,100.0,2023-01-21,47.9715,10.4167
M4,Weekly,pycaret,3.0.0.rc8,huber_cds_dt,sklearn,1.1.3,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,359.0,9.5995,2.4027,0.0,0.9418,100.0,2023-01-21,9.3306,14.6333
M4,Weekly,pycaret,3.0.0.rc8,knn_cds_dt,sklearn,1.1.3,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,359.0,9.6099,3.0925,0.0,1.0801,100.0,2023-01-22,9.5882,14.8833
M4,Weekly,pycaret,3.0.0.rc8,lar_cds_dt,sklearn,1.1.3,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,359.0,2.3335513272730663e+251,1.8122630699950784e+250,0.0,3.262640580914003e+249,100.0,2023-01-21,11.3369,14.5667
M4,Weekly,pycaret,3.0.0.rc8,lasso_cds_dt,sklearn,1.1.3,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,359.0,9.8182,2.6427,0.0,0.9956,100.0,2023-01-21,9.5238,14.2833
M4,Weekly,pycaret,3.0.0.rc8,lightgbm_cds_dt,sklearn,1.1.3,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,359.0,9.277,3.2952,0.0,1.0902,100.0,2023-01-22,9.1052,15.0333
M4,Weekly,pycaret,3.0.0.rc8,llar_cds_dt,sklearn,1.1.3,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,359.0,15.5286,6.013,0.0,1.8352,100.0,2023-01-21,13.7918,14.7833
M4,Weekly,pycaret,3.0.0.rc8,lr_cds_dt,sklearn,1.1.3,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,359.0,9.7641,2.3719,0.0,0.9449,100.0,2023-01-21,9.4895,14.55
M4,Weekly,pycaret,3.0.0.rc8,naive,,,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,359.0,8.9373,2.7773,0.0,1.0,100.0,2023-01-21,9.1613,10.3833
M4,Weekly,pycaret,3.0.0.rc8,omp_cds_dt,sklearn,1.1.3,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,359.0,10.5993,2.5982,0.0,1.0224,100.0,2023-01-21,10.1629,14.4667
M4,Weekly,pycaret,3.0.0.rc8,par_cds_dt,sklearn,1.1.3,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,359.0,404046924503.4568,16211857095.1825,0.0,2918641545.9746,100.0,2023-01-21,32.8679,14.6333
M4,Weekly,pycaret,3.0.0.rc8,polytrend,,,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,359.0,40.7042,21.8586,0.0,5.5663,100.0,2023-01-21,29.886,10.3833
M4,Weekly,pycaret,3.0.0.rc8,prophet,,,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,359.0,18.1281,8.3441,0.0,2.6362,100.0,2023-01-22,20.7778,15.1667
M4,Weekly,pycaret,3.0.0.rc8,rf_cds_dt,sklearn,1.1.3,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,359.0,8.8782,2.6812,0.0,0.9687,100.0,2023-01-21,8.9044,17.6667
M4,Weekly,pycaret,3.0.0.rc8,ridge_cds_dt,sklearn,1.1.3,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,359.0,9.7642,2.3719,0.0,0.945,100.0,2023-01-21,9.4898,14.1833
M4,Weekly,pycaret,3.0.0.rc8,snaive,,,ray,2.0.1,native,,8,naive,3.9.15,win32,6.6852,359.0,10.3211,5.0403,0.0,1.4672,93.3148,2023-01-21,10.2569,10.8167
M4,Weekly,pycaret,3.0.0.rc8,theta,,,ray,2.0.1,native,,8,naive,3.9.15,win32,0.2786,359.0,8.1088,2.4928,0.0,0.8838,99.7214,2023-01-21,7.9706,10.65
M4,Weekly,pycaret,3.0.0.rc9,ada_cds_dt,sklearn,1.2.1,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,359.0,12.4565,3.7014,0.0,1.2839,100.0,2023-02-11,11.3143,5.0667
M4,Weekly,pycaret,3.0.0.rc9,arima,sktime,0.16.0,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,359.0,8.2151,2.5989,0.0,0.9282,100.0,2023-02-11,8.4351,7.4667
M4,Weekly,pycaret,3.0.0.rc9,auto_arima,statsforecast,1.4.0,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,359.0,9.1613,2.4319,0.0,0.9987,100.0,2023-02-11,10.2776,57.65
M4,Weekly,pycaret,3.0.0.rc9,br_cds_dt,sklearn,1.2.1,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,359.0,9.8033,2.3737,0.0,0.9457,100.0,2023-02-11,9.4971,4.4333
M4,Weekly,pycaret,3.0.0.rc9,catboost_cds_dt,sklearn,1.2.1,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,359.0,8.8187,2.9721,0.0,1.015,100.0,2023-02-11,8.7928,20.65
M4,Weekly,pycaret,3.0.0.rc9,croston,sktime,0.16.0,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,359.0,10.6954,4.1772,0.0,1.3668,100.0,2023-02-11,11.2636,2.1833
M4,Weekly,pycaret,3.0.0.rc9,dt_cds_dt,sklearn,1.2.1,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,359.0,10.812,3.1706,0.0,1.1658,100.0,2023-02-11,10.9017,4.55
