dataset,group,library,library_version,model,model_engine,model_engine_version,execution_engine,execution_engine_version,execution_mode,execution_mode_version,num_cpus,backup_model,python_version,os,backup_model_per,count_ts,mape,mase,no_model_per,owa,primary_model_per,smape
M4,Hourly,pycaret,3.0.0.rc9,lar_cds_dt,sklearn,1.2.1,ray,2.0.1,native,,8,naive,3.9.15,win32,0.2415,414.0,1.2974491346143155e+51,1.9031982078846398e+50,0.0,3.973207550527231e+49,99.7585,23.982
M4,Hourly,pycaret,3.0.0.rc9,lasso_cds_dt,sklearn,1.2.1,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,414.0,41.1052,2.9801,0.0,1.1925,100.0,20.9681
M4,Hourly,pycaret,3.0.0.rc9,lightgbm_cds_dt,sklearn,1.2.1,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,414.0,48.5804,1.962,0.0,1.0095,100.0,22.0548
M4,Hourly,pycaret,3.0.0.rc9,llar_cds_dt,sklearn,1.2.1,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,414.0,41.1047,2.98,0.0,1.1924,100.0,20.9676
M4,Hourly,pycaret,3.0.0.rc9,lr_cds_dt,sklearn,1.2.1,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,414.0,40.3434,1.9498,0.0,0.9575,100.0,20.2385
M4,Hourly,pycaret,3.0.0.rc9,naive,sktime,0.16.0,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,414.0,37.717,11.6077,0.0,3.5929,100.0,43.003
M4,Hourly,pycaret,3.0.0.rc9,omp_cds_dt,sklearn,1.2.1,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,414.0,39.5372,2.5206,0.0,1.1115,100.0,21.5176
M4,Hourly,pycaret,3.0.0.rc9,par_cds_dt,sklearn,1.2.1,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,414.0,3.581431102122275e+25,1.1248814405769126e+24,0.0,2.348356264015064e+23,100.0,66.8714
M4,Hourly,pycaret,3.0.0.rc9,polytrend,sktime,0.16.0,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,414.0,85.0169,10.5521,0.0,3.1048,100.0,33.1587
M4,Hourly,pycaret,3.0.0.rc9,prophet,sktime,0.16.0,ray,2.0.1,native,,8,naive,3.9.15,win32,100.0,414.0,37.717,11.6077,0.0,3.5929,0.0,43.003
M4,Hourly,pycaret,3.0.0.rc9,rf_cds_dt,sklearn,1.2.1,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,414.0,47.0899,1.6438,0.0,0.8958,100.0,20.3176
M4,Hourly,pycaret,3.0.0.rc9,ridge_cds_dt,sklearn,1.2.1,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,414.0,40.3511,1.9669,0.0,0.9613,100.0,20.2459
M4,Hourly,pycaret,3.0.0.rc9,snaive,sktime,0.16.0,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,414.0,25.437,2.8605,0.0,1.2994,100.0,25.8184
M4,Hourly,pycaret,3.0.0.rc9,theta,sktime,0.16.0,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,414.0,28.0722,3.8148,0.0,1.5734,100.0,28.5687
M4,Hourly,pycaret,3.0.0.rc9,xgboost_cds_dt,sklearn,1.2.1,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,414.0,43.0693,1.8923,0.0,1.0182,100.0,22.9114
M4,Hourly,pycaret,38f01856b5ca14ca79aa800677b489c381d5aa71,ets,sktime,0.15.0,ray,2.0.1,native,,8,naive,3.9.15,win32,100.0,414.0,37.717,11.6077,0.0,3.5929,0.0,43.003
M4,Hourly,pycaret,38f01856b5ca14ca79aa800677b489c381d5aa71,exp_smooth,sktime,0.15.0,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,414.0,101.5441,12.0148,0.0,4.1898,100.0,61.8234
M4,Weekly,pycaret,3.0.0.rc8,ada_cds_dt,sklearn,1.1.3,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,359.0,12.8353,3.7081,0.0,1.3019,100.0,11.622
M4,Weekly,pycaret,3.0.0.rc8,arima,,,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,359.0,8.3399,2.6379,0.0,0.9455,100.0,8.623
M4,Weekly,pycaret,3.0.0.rc8,br_cds_dt,sklearn,1.1.3,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,359.0,9.8035,2.3722,0.0,0.9455,100.0,9.4997
M4,Weekly,pycaret,3.0.0.rc8,croston,,,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,359.0,10.6954,4.1772,0.0,1.3668,100.0,11.2636
M4,Weekly,pycaret,3.0.0.rc8,dt_cds_dt,sklearn,1.1.3,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,359.0,11.0278,3.2463,0.0,1.1924,100.0,11.1401
M4,Weekly,pycaret,3.0.0.rc8,en_cds_dt,sklearn,1.1.3,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,359.0,9.8184,2.6429,0.0,0.9956,100.0,9.524
M4,Weekly,pycaret,3.0.0.rc8,et_cds_dt,sklearn,1.1.3,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,359.0,8.9014,2.7512,0.0,0.9818,100.0,8.9144
