unique_id,len_total,len_train,len_test,strictly_positive,white_noise,lowercase_d,uppercase_d,seasonality_present,seasonality_type,candidate_sps,significant_sps,all_sps,primary_sp,significant_sps_no_harmonics,all_sps_no_harmonics,primary_sp_no_harmonics,time_taken
W224,2609,2596,13,True,No,1,0,True,mul,"[52, 4, 48, 5, 2, 47, 57, 50, 56, 26, 25, 27, 6, 58, 54, 53, 8]","[52, 4, 48, 5, 2, 47, 57, 50, 56, 26, 25, 27, 6, 58, 54, 53, 8]",[52],52,"[52, 56, 48, 50, 58, 47, 57, 54, 53]",[52],52,4.503
W227,1615,1602,13,True,No,1,0,True,mul,"[52, 4, 48, 5, 56, 47, 57]","[52, 4, 48, 5, 56, 47, 57]",[52],52,"[52, 56, 48, 5, 47, 57]",[52],52,3.5405
W228,1620,1607,13,True,No,1,0,True,mul,"[52, 14, 8, 6, 2, 12, 4, 16, 28, 44, 18, 60, 38, 10, 30, 56]","[52, 14, 8, 6, 2, 12, 4, 16, 28, 44, 18, 60, 38, 10, 30, 56]",[52],52,"[52, 56, 60, 16, 44, 18, 38]",[52],52,3.9644
W229,1615,1602,13,True,No,1,0,True,mul,"[52, 2, 50, 4, 48, 54, 26, 41, 56, 6, 46, 11]","[52, 2, 50, 4, 48, 54, 26, 41, 56, 6, 46, 11]",[52],52,"[52, 56, 50, 48, 54, 41, 46, 11]",[52],52,3.9634
W23,1615,1602,13,True,No,1,0,True,mul,"[52, 26, 39, 13, 22, 4, 44, 8, 17, 48, 30, 5, 9, 35, 57, 31, 18]","[52, 26, 39, 13, 22, 4, 44, 8, 17, 48, 30, 5, 9, 35, 57, 31, 18]",[52],52,"[52, 39, 44, 48, 17, 30, 35, 18, 57, 31]",[52],52,3.7659
W230,1615,1602,13,True,No,1,0,True,mul,"[52, 5, 48, 57, 4, 47, 26, 27, 21, 31]","[52, 5, 48, 57, 4, 47, 26, 27, 21, 31]",[52],52,"[52, 5, 48, 57, 47, 27, 21, 31]",[52],52,3.741
W231,1615,1602,13,True,No,1,0,True,mul,"[52, 2, 4, 48, 50, 54, 56, 6, 58, 46, 8, 57, 47, 44]","[52, 2, 4, 48, 50, 54, 56, 6, 58, 46, 8, 57, 47, 44]",[52],52,"[52, 58, 56, 48, 50, 54, 46, 57, 47, 44]",[52],52,3.9704
W232,1615,1602,13,True,No,1,0,True,mul,"[52, 53, 4, 5, 48, 57, 47, 51, 56, 50, 25, 2, 6, 27, 3]","[52, 53, 4, 5, 48, 57, 47, 51, 56, 50, 25, 2, 6, 27, 3]",[52],52,"[52, 53, 56, 50, 48, 57, 47, 51, 27]",[52],52,4.0003
W233,1615,1602,13,True,No,1,0,True,mul,"[52, 4, 47, 54, 25, 28, 53]","[52, 4, 47, 54, 25, 28, 53]",[52],52,"[52, 47, 54, 25, 28, 53]",[52],52,3.6722
W234,1615,1602,13,True,No,1,0,True,mul,[52],[52],[52],52,[52],[52],52,3.6193
W235,1615,1602,13,True,No,1,0,True,mul,"[52, 4, 2, 48, 54, 50, 56]","[52, 4, 2, 48, 54, 50, 56]",[52],52,"[52, 56, 48, 54, 50]",[52],52,3.4588
W236,1615,1602,13,True,No,1,0,True,mul,"[22, 8, 2, 6, 4]","[22, 8, 2, 6, 4]",[22],22,"[22, 8, 6]",[22],22,3.4109
W238,1615,1602,13,True,No,1,0,True,mul,"[52, 53, 4, 2, 50, 5, 48, 51, 3, 47, 54, 57, 49, 55, 56, 25, 27, 6, 26]","[52, 53, 4, 2, 50, 5, 48, 51, 3, 47, 54, 57, 49, 55, 56, 25, 27, 6, 26]",[52],52,"[52, 53, 56, 50, 55, 48, 51, 57, 47, 54, 49]",[52],52,3.4448
