unique_id,len_total,len_train,len_test,strictly_positive,white_noise,lowercase_d,uppercase_d,seasonality_present,candidate_sps,significant_sps,all_sps,primary_sp,significant_sps_no_harmonics,all_sps_no_harmonics,primary_sp_no_harmonics,time_taken
H361,1008,960,48,True,No,0,0,True,"[2, 24, 3, 23, 25, 22, 48, 26, 4, 21, 47, 49, 46, 50, 20, 27, 5, 45, 51, 19, 28]","[2, 24, 3, 23, 25, 22, 48, 26, 4, 21, 47, 49, 46, 50, 20, 27, 5, 45, 51, 19, 28]",[2],2,"[50, 48, 51, 46, 22, 26, 21, 47, 49, 20, 27, 45, 19, 28]",[50],50,8.4594
H362,1008,960,48,True,No,0,0,True,"[2, 24, 23, 25, 48, 22, 3, 47, 26, 49, 46, 21, 50, 27, 4, 45, 51, 20, 28, 44]","[2, 24, 23, 25, 48, 22, 3, 47, 26, 49, 46, 21, 50, 27, 4, 45, 51, 20, 28, 44]",[2],2,"[50, 48, 46, 44, 51, 47, 26, 49, 21, 27, 45, 20, 28]",[50],50,8.4664
H363,1008,960,48,True,No,0,0,True,"[24, 23, 25, 2, 48, 47, 49, 22, 26, 3, 46, 50, 21, 27, 4, 45, 51, 20, 28]","[24, 23, 25, 2, 48, 47, 49, 22, 26, 3, 46, 50, 21, 27, 4, 45, 51, 20, 28]",[24],24,"[48, 46, 50, 47, 49, 22, 26, 51, 21, 27, 45, 20, 28]",[48],48,8.6778
H364,1008,960,48,True,No,0,0,True,"[2, 24, 23, 25, 3, 22, 48, 47, 49, 26, 46, 21, 50, 4, 27, 51, 45, 20, 28, 5, 44, 52]","[2, 24, 23, 25, 3, 22, 48, 47, 49, 26, 46, 21, 50, 4, 27, 51, 45, 20, 28, 5, 44, 52]",[2],2,"[52, 48, 46, 50, 51, 44, 47, 49, 21, 27, 45, 20, 28]",[52],52,8.6798
H365,1008,960,48,True,No,0,0,True,"[24, 23, 2, 25, 48, 22, 47, 49, 26, 3, 46, 21, 50, 27, 4, 45, 20, 51, 28, 5]","[24, 23, 2, 25, 48, 22, 47, 49, 26, 3, 46, 21, 50, 27, 4, 45, 20, 51, 28, 5]",[24],24,"[48, 46, 50, 22, 47, 49, 26, 51, 21, 27, 45, 20, 28]",[48],48,9.1136
H366,1008,960,48,True,No,0,0,True,"[24, 48, 23, 25, 2, 47, 49, 22, 26, 46, 50, 3]","[24, 48, 23, 25, 2, 47, 49, 22, 26, 46, 50, 3]",[24],24,"[48, 46, 50, 47, 49, 22, 26]",[48],48,8.8852
H367,1008,960,48,True,No,0,0,True,"[24, 2, 23, 25, 48, 47, 49, 22, 26, 3, 46, 50, 21, 27, 4, 45, 51, 20, 28, 44]","[24, 2, 23, 25, 48, 47, 49, 22, 26, 3, 46, 50, 21, 27, 4, 45, 51, 20, 28, 44]",[24],24,"[48, 50, 46, 47, 49, 44, 26, 51, 21, 27, 45, 20, 28]",[48],48,8.3397
H368,1008,960,48,True,No,0,0,True,"[24, 23, 25, 2, 48, 47, 49, 22, 26, 3, 46, 50, 21, 27, 4, 45, 51, 20]","[24, 23, 25, 2, 48, 47, 49, 22, 26, 3, 46, 50, 21, 27, 4, 45, 51, 20]",[24],24,"[48, 46, 50, 47, 49, 22, 26, 51, 21, 27, 45, 20]",[48],48,9.0807
H369,1008,960,48,True,No,0,0,True,"[24, 23, 25, 2, 48, 47, 49, 22, 26, 3, 46, 50, 21, 27]","[24, 23, 25, 2, 48, 47, 49, 22, 26, 3, 46, 50, 21, 27]",[24],24,"[48, 46, 50, 47, 49, 22, 26, 21, 27]",[48],48,8.589
H37,748,700,48,True,No,1,0,True,"[2, 24, 23, 25, 22, 3, 48, 26, 47, 49, 21, 46, 4, 50, 27, 45, 20, 51]","[2, 24, 23, 25, 22, 3, 48, 26, 47, 49, 21, 46, 4, 50, 27, 45, 20, 51]",[2],2,"[50, 48, 46, 22, 51, 26, 47, 49, 21, 27, 45, 20]",[50],50,7.0671
H370,1008,960,48,True,No,0,0,True,"[24, 48, 2, 23, 25, 47, 49, 22, 26, 3, 46, 50, 21, 27, 45, 4]","[24, 48, 2, 23, 25, 47, 49, 22, 26, 3, 46, 50, 21, 27, 45, 4]",[24],24,"[48, 50, 46, 47, 49, 22, 26, 21, 27, 45]",[48],48,8.8045
H371,1008,960,48,True,No,0,0,True,"[24, 23, 25, 48, 2, 47, 49, 22, 26, 3, 46, 50, 21, 27]","[24, 23, 25, 48, 2, 47, 49, 22, 26, 3, 46, 50, 21, 27]",[24],24,"[48, 46, 50, 47, 49, 22, 26, 21, 27]",[48],48,9.0169
