unique_id,len_total,len_train,len_test,strictly_positive,white_noise,lowercase_d,uppercase_d,seasonality_present,candidate_sps,significant_sps,all_sps,primary_sp,significant_sps_no_harmonics,all_sps_no_harmonics,primary_sp_no_harmonics,time_taken
Q594,53,45,8,True,No,1,0,True,[2],[2],[2],2,[2],[2],2,1.8939
Q595,53,45,8,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.0106
Q596,53,45,8,True,No,1,1,True,[3],[3],[3],3,[3],[3],3,2.0086
Q597,52,44,8,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.0844
Q598,53,45,8,True,No,1,0,False,[],[1],[1],1,[1],[1],1,1.9159
Q599,52,44,8,True,No,1,0,False,[],[1],[1],1,[1],[1],1,1.9867
Q6,44,36,8,True,No,0,0,False,[],[1],[1],1,[1],[1],1,1.9827
Q60,44,36,8,True,No,1,0,False,[],[1],[1],1,[1],[1],1,1.881
Q600,52,44,8,True,No,1,0,False,[],[1],[1],1,[1],[1],1,1.875
Q601,52,44,8,True,No,1,0,False,[],[1],[1],1,[1],[1],1,1.9378
Q602,52,44,8,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.0675
Q603,53,45,8,True,No,0,0,False,[],[1],[1],1,[1],[1],1,1.9977
Q604,52,44,8,True,No,0,0,False,[],[1],[1],1,[1],[1],1,1.9578
Q605,52,44,8,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.246
Q606,53,45,8,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.0026
Q607,53,45,8,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.1483
Q608,53,45,8,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.0834
Q609,53,45,8,True,No,1,0,False,[],[1],[1],1,[1],[1],1,1.8889
Q61,43,35,8,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.0405
Q610,53,45,8,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.0236
Q611,53,45,8,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.226
Q612,53,45,8,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.0286
Q613,53,45,8,True,No,0,0,True,[2],[2],[2],2,[2],[2],2,2.1133
Q614,53,45,8,True,No,1,0,False,[],[1],[1],1,[1],[1],1,1.874
Q615,53,45,8,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.2021
Q616,53,45,8,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.0475
Q617,53,45,8,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.0814
Q618,53,45,8,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.2001
Q619,53,45,8,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.0316
Q62,43,35,8,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.2629
Q620,53,45,8,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.0844
Q621,53,45,8,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.0964
Q622,53,45,8,True,No,1,0,False,[],[1],[1],1,[1],[1],1,1.9687
Q623,53,45,8,True,No,1,0,True,[2],[2],[2],2,[2],[2],2,2.4844
Q624,35,27,8,True,No,2,0,False,[],[1],[1],1,[1],[1],1,1.9568
Q625,35,27,8,True,No,2,0,False,[],[1],[1],1,[1],[1],1,2.1303
Q626,35,27,8,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.0086
Q627,35,27,8,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.2121
Q628,44,36,8,True,No,2,1,True,"[2, 4]","[2, 4]",[2],2,[4],[4],4,2.2689
Q629,66,58,8,True,No,1,0,True,[4],[4],[4],4,[4],[4],4,2.0316
Q63,43,35,8,True,No,2,1,True,[3],[3],[3],3,[3],[3],3,2.2809
