unique_id,len_total,len_train,len_test,strictly_positive,white_noise,lowercase_d,uppercase_d,seasonality_present,candidate_sps,significant_sps,all_sps,primary_sp,significant_sps_no_harmonics,all_sps_no_harmonics,primary_sp_no_harmonics,time_taken
Y360,28,22,6,True,No,0,0,False,[],[1],[1],1,[1],[1],1,1.9867
Y361,28,22,6,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.0615
Y362,47,41,6,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.0914
Y363,47,41,6,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.0475
Y364,47,41,6,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.256
Y365,47,41,6,True,No,1,0,False,[],[1],[1],1,[1],[1],1,1.9209
Y366,42,36,6,True,No,1,0,False,[],[1],[1],1,[1],[1],1,1.9897
Y367,47,41,6,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.0844
Y368,47,41,6,True,No,1,0,False,[],[1],[1],1,[1],[1],1,1.869
Y369,47,41,6,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.1104
Y37,20,14,6,True,No,1,0,False,[],[1],[1],1,[1],[1],1,1.867
Y370,47,41,6,True,No,0,1,True,"[2, 3]","[2, 3]",[2],2,"[2, 3]",[2],2,2.0645
Y371,47,41,6,True,No,0,1,True,[2],[2],[2],2,[2],[2],2,1.9209
Y372,47,41,6,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.0615
Y373,27,21,6,True,Maybe,0,0,False,[],[1],[1],1,[1],[1],1,1.7922
Y374,46,40,6,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.0884
Y375,46,40,6,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.2211
Y376,20,14,6,True,No,1,0,False,[],[1],[1],1,[1],[1],1,1.854
Y377,20,14,6,True,Maybe,0,0,False,[],[1],[1],1,[1],[1],1,1.9009
Y378,30,24,6,True,No,1,0,False,[],[1],[1],1,[1],[1],1,1.9149
Y379,25,19,6,True,No,1,0,False,[],[1],[1],1,[1],[1],1,1.9328
Y38,20,14,6,True,No,2,0,False,[],[1],[1],1,[1],[1],1,1.9029
Y380,24,18,6,True,No,0,0,False,[],[1],[1],1,[1],[1],1,1.8381
Y381,25,19,6,True,No,0,0,False,[],[1],[1],1,[1],[1],1,1.9229
Y382,27,21,6,True,No,0,0,False,[],[1],[1],1,[1],[1],1,1.9368
Y383,25,19,6,True,No,1,0,False,[],[1],[1],1,[1],[1],1,1.9378
Y384,21,15,6,True,No,1,0,False,[],[1],[1],1,[1],[1],1,1.9687
Y385,23,17,6,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.1074
Y386,26,20,6,True,No,1,0,False,[],[1],[1],1,[1],[1],1,1.9029
Y387,24,18,6,True,No,0,0,False,[],[1],[1],1,[1],[1],1,1.9109
Y388,23,17,6,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.0026
Y389,24,18,6,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.0286
Y39,20,14,6,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.0665
Y390,46,40,6,True,No,2,0,False,[],[1],[1],1,[1],[1],1,2.0715
Y391,46,40,6,True,No,2,0,False,[],[1],[1],1,[1],[1],1,1.9368
Y392,47,41,6,True,No,2,0,False,[],[1],[1],1,[1],[1],1,2.0176
Y393,47,41,6,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.1393
Y394,46,40,6,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.0894
Y395,46,40,6,True,No,1,0,False,[],[1],[1],1,[1],[1],1,1.9947
Y396,46,40,6,True,No,1,0,False,[],[1],[1],1,[1],[1],1,1.9548
Y397,40,34,6,True,No,1,0,False,[],[1],[1],1,[1],[1],1,1.9697
Y398,22,16,6,True,No,0,0,False,[],[1],[1],1,[1],[1],1,1.9009
Y399,21,15,6,True,Yes,0,0,False,[],[1],[1],1,[1],[1],1,1.8899
Y4,20,14,6,True,No,0,0,False,[],[1],[1],1,[1],[1],1,2.0226
Y40,20,14,6,True,No,2,0,False,[],[1],[1],1,[1],[1],1,1.9997
Y400,26,20,6,True,No,1,0,False,[],[1],[1],1,[1],[1],1,1.878
Y401,46,40,6,True,Yes,0,0,False,[],[1],[1],1,[1],[1],1,1.8989
Y402,46,40,6,True,No,0,0,False,[],[1],[1],1,[1],[1],1,1.9578
Y403,46,40,6,True,Yes,0,0,False,[],[1],[1],1,[1],[1],1,2.0356
Y404,46,40,6,True,No,1,0,False,[],[1],[1],1,[1],[1],1,1.9667
Y405,47,41,6,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.0046
Y406,47,41,6,True,No,1,0,False,[],[1],[1],1,[1],[1],1,1.9179
Y407,47,41,6,True,No,1,0,False,[],[1],[1],1,[1],[1],1,1.9687
Y408,47,41,6,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.0575
Y409,47,41,6,True,No,2,0,False,[],[1],[1],1,[1],[1],1,1.9697
Y41,20,14,6,True,No,1,0,False,[],[1],[1],1,[1],[1],1,1.9019
Y410,47,41,6,True,No,0,0,True,"[2, 3]","[2, 3]",[2],2,"[2, 3]",[2],2,2.1263
Y411,47,41,6,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.0216
Y412,47,41,6,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.0386
Y413,47,41,6,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.1143
Y414,47,41,6,True,No,0,2,True,[2],[2],[2],2,[2],[2],2,2.2221
Y415,47,41,6,True,No,0,0,False,[],[1],[1],1,[1],[1],1,2.2001
Y416,47,41,6,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.2051
Y417,30,24,6,True,No,1,0,False,[],[1],[1],1,[1],[1],1,1.9458
Y418,47,41,6,True,No,2,0,False,[],[1],[1],1,[1],[1],1,2.0705
Y419,47,41,6,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.1163
Y42,20,14,6,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.1303
Y420,47,41,6,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.238
Y421,47,41,6,True,No,1,0,False,[],[1],[1],1,[1],[1],1,1.9468
Y422,23,17,6,True,No,0,0,False,[],[1],[1],1,[1],[1],1,1.9578
Y423,23,17,6,True,No,0,0,False,[],[1],[1],1,[1],[1],1,1.875
Y424,23,17,6,True,No,0,0,False,[],[1],[1],1,[1],[1],1,2.0764
Y425,23,17,6,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.1592
Y426,46,40,6,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.0525
Y427,47,41,6,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.0366
Y428,46,40,6,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.0475
Y429,41,35,6,True,No,0,0,True,[2],[2],[2],2,[2],[2],2,1.8481
Y43,20,14,6,True,No,2,0,False,[],[1],[1],1,[1],[1],1,1.868
Y430,46,40,6,True,No,2,0,False,[],[1],[1],1,[1],[1],1,1.9588
Y431,20,14,6,True,No,1,0,False,[],[1],[1],1,[1],[1],1,1.9498
